"gene_id","lr","df","pvalue","adj_pvalue"
"FBgn0003302",0.0535531274922505,1,0.816992035005839,0.999210074482202
"FBgn0028982",0.134546246525133,1,0.713764133559031,0.999210074482202
"FBgn0029866",0.702551304995723,1,0.401927744466241,0.889154667155202
"FBgn0026015",5.20734836147676,1,0.022491612408167,0.231079306129459
"FBgn0086558",0.668159217282664,1,0.413694124695199,0.892969216256862
"FBgn0040918",2.33882772326433,1,0.126184480881804,0.609290447625654
"FBgn0029878",0.199458791106736,1,0.655158049310636,0.983046257131762
"FBgn0062413",0.252279637885295,2,0.881491588944808,0.999210074482202
"FBgn0286222",4.10188705254404,1,0.0428353787651971,0.347375669930124
"FBgn0029891",5.35783214965068,4,0.25251164540465,0.785233158810147
"FBgn0286831",0.145076284942206,1,0.703285756709394,0.999210074482202
"FBgn0029903",0.0221331584471045,1,0.881733411657538,0.999210074482202
"FBgn0003390",2.23192322093018,3,0.525687893896288,0.951936284289483
"FBgn0029897",1.13620622316375,1,0.286455401249952,0.807219575083965
"FBgn0029894",0.277742661471166,1,0.598184587657202,0.967567702311194
"FBgn0029893",1.64353603342352,2,0.439653651943873,0.905811802033678
"FBgn0029888",2.51696269313834,1,0.112627329205664,0.584811329886244
"FBgn0029914",0.310647107911791,1,0.577283365320629,0.958274945557066
"FBgn0027108",1.50714688084554,2,0.470681591354656,0.923137061304953
"FBgn0052736",7.97147670046434,1,0.00475201568586851,0.0824855300914481
"FBgn0029929",0.875235831001191,1,0.34950987570001,0.858753200975259
"FBgn0027342",3.4577041103621,1,0.0629576754008199,0.423680207184539
"FBgn0029928",0.989200019952705,1,0.319937975226783,0.839476517581694
"FBgn0004646",0.0666897464834619,1,0.796218926461993,0.999210074482202
"FBgn0029915",0.38544600885507,1,0.534702939409344,0.951936284289483
"FBgn0025549",0.498180886104819,1,0.480300517381828,0.932714523490968
"FBgn0004198",0.386215986875413,1,0.534295176452549,0.951936284289483
"FBgn0016041",0.0380121409252752,1,0.845418762272923,0.999210074482202
"FBgn0029958",0.494740316559728,1,0.481820343429358,0.932941201529548
"FBgn0029504",NA,2,NA,NA
"FBgn0040087",0.717377921317166,1,0.397005347640892,0.889154667155202
"FBgn0004403",0.17821434000507,1,0.672912320721426,0.988230580403201
"FBgn0004657",0.269243612863647,1,0.603839614964123,0.968316846448715
"FBgn0040319",0.00471501079709924,1,0.945255533138119,0.999210074482202
"FBgn0029997",1.09343909191148,2,0.578845575504382,0.958274945557066
"FBgn0029996",2.13392474297871,2,0.344052033976042,0.855286418926163
"FBgn0004656",0.140405339727295,2,0.932204870925381,0.999210074482202
"FBgn0003656",0.771536981372265,1,0.379741994435288,0.879867686945969
"FBgn0027280",4.49683019344229,1,0.0339577454234796,0.310240541258182
"FBgn0029971",6.0020998219843,2,0.0497348238083853,0.376592749554114
"FBgn0029969",21.8586146516172,1,2.9349598270604e-06,0.000282440967357446
"FBgn0020653",0.0224599633656908,1,0.88086995402595,0.999210074482202
"FBgn0030027",NA,1,NA,NA
"FBgn0030030",0.22680274906088,1,0.633904743074428,0.978473271232946
"FBgn0030028",0.787065442677203,1,0.374988948784848,0.874135089148274
"FBgn0030026",0.898524201671535,1,0.343177735342026,0.855286418926163
"FBgn0030006",0.00632396748187602,1,0.936616338372457,0.999210074482202
"FBgn0030038",0.149318084091647,1,0.69918787506384,0.999210074482202
"FBgn0264975",3.36674861294159,2,0.185746152955516,0.714367366924998
"FBgn0030049",4.6756614414162,3,0.197146743663657,0.734822779475561
"FBgn0030052",0.0228677841353147,2,0.988631226453904,0.999815318809215
