"gene_id","feature_id","lr","df","pvalue","adj_pvalue"
"FBgn0015803","FBtr0081356",0.096595353770681,1,0.755954242845567,1
"FBgn0015803","FBtr0081357",1.66353696722035,1,0.197126445530379,0.791818905304039
"FBgn0015803","FBtr0302106",0.00816139193921117,1,0.928016698942137,1
"FBgn0015803","FBtr0336748",0.039203538422953,1,0.843045975693787,1
"FBgn0032864","FBtr0081363",1.81524688478385,1,0.177880096328879,0.767628964107607
"FBgn0032864","FBtr0332970",1.81524688478385,1,0.177880096328879,0.767628964107607
"FBgn0042175","FBtr0081364",1.39549628157511,1,0.237479097737026,0.823595120112703
"FBgn0042175","FBtr0332971",1.39549628157692,1,0.23747909773672,0.823595120112703
"FBgn0032858","FBtr0081367",0.00122815550184896,1,0.972043818527346,1
"FBgn0032858","FBtr0346417",0.00122815550366795,1,0.972043818506651,1
"FBgn0086657","FBtr0081390",0.468101315493186,1,0.493861951374438,0.971019923775434
"FBgn0086657","FBtr0336824",0.468101315489548,1,0.493861951376117,0.971019923775434
"FBgn0032877","FBtr0081391",12.4219071653242,1,0.000424326683803438,0.0242189848764081
"FBgn0032877","FBtr0336825",12.4219071653242,1,0.000424326683803438,0.0242189848764081
"FBgn0032876","FBtr0081399",0.709243830514424,1,0.399694956173543,0.934818070764413
"FBgn0032876","FBtr0081401",0.709243830513515,1,0.399694956173845,0.934818070764413
"FBgn0016054","FBtr0081404",0.397939622193462,1,0.528155244569533,0.980403176311116
"FBgn0016054","FBtr0081405",0.39793962219369,1,0.528155244569415,0.980403176311116
"FBgn0011202","FBtr0081410",0.0300153587904788,1,0.862455385591154,1
"FBgn0011202","FBtr0081411",0.0300153587941168,1,0.862455385582901,1
"FBgn0032886","FBtr0081415",0.119675187968824,1,0.729387041664762,1
"FBgn0032886","FBtr0081416",0.119675187968824,1,0.729387041664762,1
"FBgn0032889","FBtr0081417",17.2751844385057,1,3.23382674540881e-05,0.00335074202007617
"FBgn0032889","FBtr0302943",17.2751844384911,1,3.23382674543357e-05,0.00335074202007617
"FBgn0051673","FBtr0081422",0.427241011449041,1,0.513345856511761,0.980403176311116
"FBgn0051673","FBtr0339562",0.427241011449041,1,0.513345856511761,0.980403176311116
"FBgn0032901","FBtr0081440",1.52769036205791,1,0.216459411436773,0.812852167538205
"FBgn0032901","FBtr0081446",1.52769036205791,1,0.216459411436773,0.812852167538205
